transcript_id	tissue_name	rpkm_mean	rpkm_std	rpkm_median	coef_variation	max
ENST00000461495	Thyroid	0.000	0.000	0.000	0	0.000
ENST00000461495	Testis	0.014	0.108	0.000	7.76567160085	1.092
ENST00000461495	Brain - Anterior cingulate cortex (BA24)	0.014	0.127	0.000	8.85158891084	1.167
ENST00000461495	Skin - Not Sun Exposed (Suprapubic)	0.000	0.000	0.000	0	0.000
ENST00000461495	Ovary	0.014	0.116	0.000	8.33899662297	1.128
ENST00000461495	Vagina	0.011	0.100	0.000	9.29346647828	0.981
ENST00000461495	Heart - Atrial Appendage	0.003	0.047	0.000	13.8924439894	0.650
ENST00000461495	Esophagus - Muscularis	0.001	0.009	0.000	11.0712903365	0.098
ENST00000461495	Brain - Cerebellar Hemisphere	0.022	0.147	0.000	6.65091812327	1.393
ENST00000461495	Small Intestine - Terminal Ileum	0.000	0.000	0.000	0	0.000
ENST00000461495	Breast - Mammary Tissue	0.009	0.106	0.000	12.1432374195	1.512
ENST00000461495	Stomach	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Cerebellum	0.009	0.082	0.000	9.48740156946	0.902
ENST00000461495	Esophagus - Mucosa	0.006	0.079	0.000	12.5565266918	1.290
ENST00000461495	Brain - Putamen (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000461495	Artery - Coronary	0.009	0.063	0.000	6.95880205678	0.546
ENST00000461495	Liver	0.000	0.000	0.000	0	0.000
ENST00000461495	Esophagus - Gastroesophageal Junction	0.009	0.099	0.000	11.2771832278	1.219
ENST00000461495	Brain - Hypothalamus	0.000	0.000	0.000	0	0.000
ENST00000461495	Colon - Transverse	0.005	0.064	0.000	13.2414616894	0.899
ENST00000461495	Prostate	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Amygdala	0.000	0.000	0.000	0	0.000
ENST00000461495	Pancreas	0.000	0.000	0.000	0	0.000
ENST00000461495	Adipose - Subcutaneous	0.003	0.048	0.000	17.0632743254	0.886
ENST00000461495	Skin - Sun Exposed (Lower leg)	0.001	0.028	0.000	18.8679622641	0.528
ENST00000461495	Spleen	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Hippocampus	0.000	0.000	0.000	0	0.000
ENST00000461495	Heart - Left Ventricle	0.000	0.000	0.000	0	0.000
