transcript_id	tissue_name	rpkm_mean	rpkm_std	rpkm_median	coef_variation	max
ENST00000461495	Thyroid	0.000	0.000	0.000	0	0.000
ENST00000461495	Testis	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Anterior cingulate cortex (BA24)	0.000	0.000	0.000	0	0.000
ENST00000461495	Skin - Not Sun Exposed (Suprapubic)	0.000	0.000	0.000	0	0.000
ENST00000461495	Ovary	0.000	0.000	0.000	0	0.000
ENST00000461495	Vagina	0.000	0.000	0.000	0	0.000
ENST00000461495	Heart - Atrial Appendage	0.000	0.000	0.000	0	0.000
ENST00000461495	Esophagus - Muscularis	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Cerebellar Hemisphere	0.000	0.000	0.000	0	0.000
ENST00000461495	Small Intestine - Terminal Ileum	0.000	0.000	0.000	0	0.000
ENST00000461495	Breast - Mammary Tissue	0.000	0.000	0.000	0	0.000
ENST00000461495	Stomach	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Cerebellum	0.000	0.000	0.000	0	0.000
ENST00000461495	Esophagus - Mucosa	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Putamen (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000461495	Artery - Coronary	0.000	0.000	0.000	0	0.000
ENST00000461495	Liver	0.000	0.000	0.000	0	0.000
ENST00000461495	Esophagus - Gastroesophageal Junction	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Hypothalamus	0.000	0.000	0.000	0	0.000
ENST00000461495	Colon - Transverse	0.000	0.000	0.000	0	0.000
ENST00000461495	Prostate	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Amygdala	0.000	0.000	0.000	0	0.000
ENST00000461495	Pancreas	0.000	0.000	0.000	0	0.000
ENST00000461495	Adipose - Subcutaneous	0.000	0.000	0.000	0	0.000
ENST00000461495	Skin - Sun Exposed (Lower leg)	0.000	0.000	0.000	0	0.000
ENST00000461495	Spleen	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Hippocampus	0.000	0.000	0.000	0	0.000
ENST00000461495	Heart - Left Ventricle	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Cortex	0.000	0.000	0.000	0	0.000
ENST00000461495	Muscle - Skeletal	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Spinal cord (cervical c-1)	0.000	0.000	0.000	0	0.000
ENST00000461495	Uterus	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Nucleus accumbens (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Caudate (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000461495	Minor Salivary Gland	0.000	0.000	0.000	0	0.000
ENST00000461495	Artery - Aorta	0.000	0.000	0.000	0	0.000
ENST00000461495	Whole Blood	0.000	0.000	0.000	0	0.000
ENST00000461495	Kidney - Cortex	0.000	0.000	0.000	0	0.000
ENST00000461495	Nerve - Tibial	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Frontal Cortex (BA9)	0.000	0.000	0.000	0	0.000
ENST00000461495	Adipose - Visceral (Omentum)	0.000	0.000	0.000	0	0.000
ENST00000461495	Adrenal Gland	0.000	0.000	0.000	0	0.000
ENST00000461495	Lung	0.000	0.000	0.000	0	0.000
ENST00000461495	Cells - Transformed fibroblasts	0.000	0.000	0.000	0	0.000
ENST00000461495	Artery - Tibial	0.000	0.000	0.000	0	0.000
ENST00000461495	Colon - Sigmoid	0.000	0.000	0.000	0	0.000
ENST00000461495	Pituitary	0.000	0.000	0.000	0	0.000
ENST00000461495	Brain - Substantia nigra	0.000	0.000	0.000	0	0.000
ENST00000461495	Cells - EBV-transformed lymphocytes	0.000	0.000	0.000	0	0.000
ENST00000349238	Thyroid	0.615	0.904	0.000	1.47100597509	3.408
ENST00000349238	Testis	0.242	0.478	0.000	1.97789694465	1.941
ENST00000349238	Brain - Anterior cingulate cortex (BA24)	0.000	0.000	0.000	0	0.000
ENST00000349238	Skin - Not Sun Exposed (Suprapubic)	0.860	1.112	0.078	1.29275331927	3.905
ENST00000349238	Ovary	0.544	0.865	0.000	1.59078868195	3.230
ENST00000349238	Vagina	0.917	1.217	0.000	1.32713876443	4.540
ENST00000349238	Heart - Atrial Appendage	0.000	0.000	0.000	0	0.000
ENST00000349238	Esophagus - Muscularis	0.654	0.965	0.000	1.47531654504	3.857
ENST00000349238	Brain - Cerebellar Hemisphere	0.000	0.000	0.000	0	0.000
ENST00000349238	Small Intestine - Terminal Ileum	0.888	1.253	0.126	1.41077249968	4.462
ENST00000349238	Breast - Mammary Tissue	0.735	1.082	0.000	1.47110546657	4.005
ENST00000349238	Stomach	0.511	0.814	0.000	1.59242521983	2.752
ENST00000349238	Brain - Cerebellum	0.000	0.000	0.000	0	0.000
ENST00000349238	Esophagus - Mucosa	0.619	0.805	0.206	1.30032149966	3.019
ENST00000349238	Brain - Putamen (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000349238	Artery - Coronary	0.772	1.017	0.000	1.31664580686	3.989
ENST00000349238	Liver	0.362	0.593	0.000	1.63990484261	2.096
ENST00000349238	Esophagus - Gastroesophageal Junction	0.574	0.883	0.000	1.53798973583	3.281
ENST00000349238	Brain - Hypothalamus	0.000	0.000	0.000	0	0.000
ENST00000349238	Colon - Transverse	0.600	0.912	0.000	1.52035169825	3.357
ENST00000349238	Prostate	1.033	1.391	0.150	1.34675967409	4.781
ENST00000349238	Brain - Amygdala	0.000	0.000	0.000	0	0.000
ENST00000349238	Pancreas	0.275	0.465	0.000	1.69540998621	1.589
ENST00000349238	Adipose - Subcutaneous	0.438	0.687	0.000	1.56771678028	2.606
ENST00000349238	Skin - Sun Exposed (Lower leg)	0.717	1.003	0.000	1.39900972771	3.682
ENST00000349238	Spleen	0.820	1.008	0.235	1.22927730468	3.808
ENST00000349238	Brain - Hippocampus	0.000	0.000	0.000	0	0.000
ENST00000349238	Heart - Left Ventricle	0.000	0.000	0.000	0	0.000
ENST00000349238	Brain - Cortex	0.000	0.000	0.000	0	0.000
ENST00000349238	Muscle - Skeletal	0.000	0.000	0.000	0	0.000
ENST00000349238	Brain - Spinal cord (cervical c-1)	0.000	0.000	0.000	0	0.000
ENST00000349238	Uterus	1.045	1.465	0.002	1.40234276751	4.745
ENST00000349238	Brain - Nucleus accumbens (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000349238	Brain - Caudate (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000349238	Minor Salivary Gland	0.260	0.459	0.000	1.76129701296	1.593
ENST00000349238	Artery - Aorta	0.619	0.933	0.000	1.50818138671	3.452
ENST00000349238	Whole Blood	0.000	0.002	0.000	12.2348893354	0.024
ENST00000349238	Kidney - Cortex	0.649	1.033	0.000	1.5903104086	3.301
ENST00000349238	Nerve - Tibial	0.462	0.777	0.000	1.68209868971	2.745
ENST00000349238	Brain - Frontal Cortex (BA9)	0.000	0.000	0.000	0	0.000
ENST00000349238	Adipose - Visceral (Omentum)	0.534	0.813	0.000	1.52321058498	3.046
ENST00000349238	Adrenal Gland	0.467	0.798	0.000	1.70753695209	2.867
ENST00000349238	Lung	0.763	1.070	0.000	1.40205687891	3.903
ENST00000349238	Cells - Transformed fibroblasts	0.902	1.219	0.007	1.35242009708	4.337
ENST00000349238	Artery - Tibial	0.656	0.929	0.000	1.41647332166	3.710
ENST00000349238	Colon - Sigmoid	0.801	1.228	0.000	1.53269094142	4.441
ENST00000349238	Pituitary	2.871	3.968	0.692	1.38230642917	14.028
ENST00000349238	Brain - Substantia nigra	0.000	0.000	0.000	0	0.000
ENST00000349238	Cells - EBV-transformed lymphocytes	0.002	0.012	0.000	4.92729006992	0.075
ENST00000312143	Thyroid	2.568	1.668	2.201	0.649516503218	6.869
ENST00000312143	Testis	0.318	0.295	0.235	0.925112270893	1.099
ENST00000312143	Brain - Anterior cingulate cortex (BA24)	0.103	0.142	0.000	1.38798129988	0.519
ENST00000312143	Skin - Not Sun Exposed (Suprapubic)	0.704	0.564	0.607	0.80136280065	2.373
ENST00000312143	Ovary	0.338	0.396	0.217	1.17159555583	1.610
ENST00000312143	Vagina	0.749	0.646	0.563	0.861519426111	2.608
ENST00000312143	Heart - Atrial Appendage	1.070	0.803	0.907	0.749959742879	3.171
ENST00000312143	Esophagus - Muscularis	0.906	0.596	0.775	0.6574322552	2.485
ENST00000312143	Brain - Cerebellar Hemisphere	0.000	0.000	0.000	0	0.000
ENST00000312143	Small Intestine - Terminal Ileum	1.173	0.803	1.090	0.684323460843	2.970
ENST00000312143	Breast - Mammary Tissue	1.403	0.966	1.281	0.68898724845	4.085
ENST00000312143	Stomach	0.513	0.486	0.397	0.946948362926	1.798
ENST00000312143	Brain - Cerebellum	0.000	0.000	0.000	0	0.000
ENST00000312143	Esophagus - Mucosa	0.212	0.238	0.179	1.11991295503	0.959
ENST00000312143	Brain - Putamen (basal ganglia)	0.156	0.196	0.000	1.25812889083	0.751
ENST00000312143	Artery - Coronary	6.085	3.423	6.037	0.562587573884	15.551
ENST00000312143	Liver	0.075	0.137	0.000	1.82801430528	0.573
ENST00000312143	Esophagus - Gastroesophageal Junction	1.118	0.789	1.071	0.70536578923	3.358
ENST00000312143	Brain - Hypothalamus	0.249	0.276	0.176	1.10826214003	1.156
ENST00000312143	Colon - Transverse	1.034	0.728	0.933	0.704752287286	3.055
ENST00000312143	Prostate	0.655	0.501	0.579	0.765260197564	1.917
ENST00000312143	Brain - Amygdala	0.134	0.186	0.000	1.38624362642	0.673
ENST00000312143	Pancreas	0.436	0.369	0.330	0.847741994368	1.536
ENST00000312143	Adipose - Subcutaneous	2.854	1.567	2.690	0.548896956855	7.459
ENST00000312143	Skin - Sun Exposed (Lower leg)	1.075	0.799	0.892	0.744007826329	3.452
ENST00000312143	Spleen	3.180	1.910	2.662	0.600475922631	8.128
ENST00000312143	Brain - Hippocampus	0.144	0.204	0.000	1.41451187371	0.753
ENST00000312143	Heart - Left Ventricle	0.543	0.422	0.476	0.777717282589	1.840
ENST00000312143	Brain - Cortex	0.056	0.096	0.000	1.72497888421	0.348
ENST00000312143	Muscle - Skeletal	0.298	0.320	0.202	1.0749641179	1.242
ENST00000312143	Brain - Spinal cord (cervical c-1)	0.465	0.414	0.373	0.890214311308	1.594
ENST00000312143	Uterus	1.846	1.335	1.509	0.723240095489	5.339
ENST00000312143	Brain - Nucleus accumbens (basal ganglia)	0.099	0.135	0.000	1.3734640617	0.484
ENST00000312143	Brain - Caudate (basal ganglia)	0.196	0.208	0.152	1.0632857016	0.795
ENST00000312143	Minor Salivary Gland	1.639	1.038	1.471	0.633593167581	4.241
ENST00000312143	Artery - Aorta	8.197	3.720	8.108	0.453854349892	18.536
ENST00000312143	Whole Blood	0.643	0.628	0.464	0.976971863874	2.762
ENST00000312143	Kidney - Cortex	0.608	0.571	0.455	0.939033510272	2.266
ENST00000312143	Nerve - Tibial	1.609	1.033	1.404	0.641657161941	4.513
ENST00000312143	Brain - Frontal Cortex (BA9)	0.086	0.106	0.000	1.24224080587	0.351
ENST00000312143	Adipose - Visceral (Omentum)	2.583	1.629	2.380	0.630765323732	7.103
ENST00000312143	Adrenal Gland	1.468	0.939	1.347	0.639882473608	3.822
ENST00000312143	Lung	3.208	1.931	3.034	0.601860029019	8.811
ENST00000312143	Cells - Transformed fibroblasts	0.236	0.285	0.157	1.2036886949	1.089
ENST00000312143	Artery - Tibial	5.428	3.046	5.024	0.561146586908	13.950
ENST00000312143	Colon - Sigmoid	0.956	0.668	0.887	0.699314706486	2.726
ENST00000312143	Pituitary	0.589	0.518	0.429	0.880471104108	1.921
ENST00000312143	Brain - Substantia nigra	0.426	0.394	0.285	0.925707892861	1.512
ENST00000312143	Cells - EBV-transformed lymphocytes	0.000	0.000	0.000	0	0.000
ENST00000376139	Thyroid	3.258	2.864	3.009	0.879144962007	11.790
ENST00000376139	Testis	0.744	0.900	0.436	1.20972843974	3.382
ENST00000376139	Brain - Anterior cingulate cortex (BA24)	0.463	0.509	0.405	1.10054422828	2.069
ENST00000376139	Skin - Not Sun Exposed (Suprapubic)	7.215	6.146	7.164	0.851853511416	22.666
ENST00000376139	Ovary	1.526	1.525	1.086	0.999682172593	5.934
ENST00000376139	Vagina	7.093	5.765	6.753	0.812757145319	21.563
ENST00000376139	Heart - Atrial Appendage	0.361	0.475	0.000	1.31451702914	1.996
ENST00000376139	Esophagus - Muscularis	1.741	1.738	1.216	0.998460367225	6.656
ENST00000376139	Brain - Cerebellar Hemisphere	0.376	0.458	0.284	1.21549412873	1.770
ENST00000376139	Small Intestine - Terminal Ileum	3.632	3.642	2.241	1.00289447281	13.241
ENST00000376139	Breast - Mammary Tissue	2.980	2.874	2.219	0.964484823267	11.254
ENST00000376139	Stomach	1.738	2.310	0.552	1.32869549056	8.160
ENST00000376139	Brain - Cerebellum	0.374	0.420	0.343	1.12249067123	1.685
ENST00000376139	Esophagus - Mucosa	8.745	6.914	9.921	0.790675312786	25.969
ENST00000376139	Brain - Putamen (basal ganglia)	0.254	0.300	0.000	1.17899857461	1.155
ENST00000376139	Artery - Coronary	1.964	1.865	1.456	0.949633278018	6.999
ENST00000376139	Liver	0.240	0.434	0.000	1.80561121366	1.819
ENST00000376139	Esophagus - Gastroesophageal Junction	1.871	1.759	1.614	0.939997387569	6.837
ENST00000376139	Brain - Hypothalamus	0.402	0.456	0.295	1.13593423878	1.706
ENST00000376139	Colon - Transverse	3.165	3.302	1.824	1.04347734969	13.561
ENST00000376139	Prostate	2.041	2.642	0.534	1.29474344227	9.229
ENST00000376139	Brain - Amygdala	0.265	0.321	0.000	1.2113408609	1.096
ENST00000376139	Pancreas	0.222	0.367	0.000	1.65301992683	1.790
ENST00000376139	Adipose - Subcutaneous	2.270	2.090	1.780	0.920791565878	8.297
ENST00000376139	Skin - Sun Exposed (Lower leg)	6.939	5.737	7.153	0.826794355025	25.214
ENST00000376139	Spleen	0.741	0.990	0.447	1.3354884912	3.976
ENST00000376139	Brain - Hippocampus	0.230	0.276	0.000	1.19861639375	1.046
ENST00000376139	Heart - Left Ventricle	0.223	0.320	0.000	1.43359910789	1.308
ENST00000376139	Brain - Cortex	0.310	0.362	0.224	1.16916718528	1.279
ENST00000376139	Muscle - Skeletal	0.215	0.386	0.000	1.79708387382	1.477
ENST00000376139	Brain - Spinal cord (cervical c-1)	0.267	0.384	0.000	1.43725432295	1.272
ENST00000376139	Uterus	2.412	2.051	2.618	0.850236184406	8.024
ENST00000376139	Brain - Nucleus accumbens (basal ganglia)	0.222	0.300	0.000	1.34983702571	1.007
ENST00000376139	Brain - Caudate (basal ganglia)	0.271	0.341	0.030	1.25607507962	1.340
ENST00000376139	Minor Salivary Gland	5.517	4.548	5.651	0.82439963661	19.292
ENST00000376139	Artery - Aorta	2.898	2.605	2.255	0.898653174318	10.031
ENST00000376139	Whole Blood	0.142	0.253	0.000	1.78674491777	0.960
ENST00000376139	Kidney - Cortex	2.735	3.158	1.086	1.15484585816	10.124
ENST00000376139	Nerve - Tibial	1.082	1.104	0.783	1.02066334574	4.763
ENST00000376139	Brain - Frontal Cortex (BA9)	0.385	0.438	0.337	1.13751417177	1.879
ENST00000376139	Adipose - Visceral (Omentum)	2.101	2.095	1.382	0.997258757333	8.473
ENST00000376139	Adrenal Gland	1.550	1.735	0.886	1.1193081334	6.365
ENST00000376139	Lung	2.914	2.646	2.523	0.90795961568	10.700
ENST00000376139	Cells - Transformed fibroblasts	2.026	2.271	1.310	1.12046377971	8.916
ENST00000376139	Artery - Tibial	3.112	2.859	2.758	0.918842507384	11.562
ENST00000376139	Colon - Sigmoid	1.751	1.758	1.224	1.00369737356	6.867
ENST00000376139	Pituitary	0.340	0.390	0.298	1.14684687154	1.471
ENST00000376139	Brain - Substantia nigra	0.521	0.571	0.370	1.09672562479	1.909
ENST00000376139	Cells - EBV-transformed lymphocytes	0.000	0.000	0.000	0	0.000
ENST00000481295	Thyroid	0.692	0.874	0.100	1.26426055289	3.326
ENST00000481295	Testis	41.297	21.540	38.763	0.521584130414	102.174
ENST00000481295	Brain - Anterior cingulate cortex (BA24)	2.296	2.007	1.758	0.874124707208	7.521
ENST00000481295	Skin - Not Sun Exposed (Suprapubic)	0.017	0.065	0.000	3.83359572287	0.405
ENST00000481295	Ovary	0.000	0.000	0.000	0	0.000
